Freq.	V(vout)
1.00000000000000e+00	(-1.27514002802925e+01dB,-4.65406726947771e+00°)
1.02329299228075e+00	(-1.27526840098454e+01dB,-4.76201640944179e+00°)
1.04712854805090e+00	(-1.27540278330249e+01dB,-4.87244742967674e+00°)
1.07151930523761e+00	(-1.27554345425579e+01dB,-4.98541583218980e+00°)
1.09647819614318e+00	(-1.27569070600342e+01dB,-5.10097824925599e+00°)
1.12201845430196e+00	(-1.27584484389804e+01dB,-5.21919245917282e+00°)
1.14815362149688e+00	(-1.27600618750766e+01dB,-5.34011739906694e+00°)
1.17489755493953e+00	(-1.27617507072349e+01dB,-5.46381318115735e+00°)
1.20226443461741e+00	(-1.27635184272919e+01dB,-5.59034110493995e+00°)
1.23026877081238e+00	(-1.27653686860456e+01dB,-5.71976367060069e+00°)
1.25892541179417e+00	(-1.27673053001678e+01dB,-5.85214459048464e+00°)
1.28824955169313e+00	(-1.27693322573695e+01dB,-5.98754880329183e+00°)
1.31825673855641e+00	(-1.27714537284246e+01dB,-6.12604248032444e+00°)
1.34896288259165e+00	(-1.27736740699890e+01dB,-6.26769303967599e+00°)
1.38038426460288e+00	(-1.27759978368858e+01dB,-6.41256915081710e+00°)
1.41253754462275e+00	(-1.27784297858212e+01dB,-6.56074074675435e+00°)
1.44543977074593e+00	(-1.27809748893329e+01dB,-6.71227902486575e+00°)
1.47910838816821e+00	(-1.27836383409670e+01dB,-6.86725645615435e+00°)
1.51356124843621e+00	(-1.27864255665898e+01dB,-7.02574678638741e+00°)
1.54881661891248e+00	(-1.27893422322712e+01dB,-7.18782503877311e+00°)
1.58489319246111e+00	(-1.27923942567509e+01dB,-7.35356751343344e+00°)
1.62181009735893e+00	(-1.27955878196888e+01dB,-7.52305178459037e+00°)
1.65958690743756e+00	(-1.27989293735070e+01dB,-7.69635669875029e+00°)
1.69824365246174e+00	(-1.28024256546398e+01dB,-7.87356236600476e+00°)
1.73780082874937e+00	(-1.28060836937993e+01dB,-8.05475015193904e+00°)
1.77827941003892e+00	(-1.28099108286923e+01dB,-8.24000266741376e+00°)
1.81970085860998e+00	(-1.28139147171737e+01dB,-8.42940375199588e+00°)
1.86208713666287e+00	(-1.28181033472780e+01dB,-8.62303845954314e+00°)
1.90546071796325e+00	(-1.28224850522569e+01dB,-8.82099303445519e+00°)
1.94984459975804e+00	(-1.28270685241546e+01dB,-9.02335488999350e+00°)
1.99526231496888e+00	(-1.28318628251104e+01dB,-9.23021258033167e+00°)
2.04173794466953e+00	(-1.28368774041155e+01dB,-9.44165576609774e+00°)
